,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
88,0.990272701,0.040113214,Azerbaijan,89,0.731134057,2020,5.164800167,0.24730718100000001,0.467734724,Asia
41,1.44024,0.17147,Bahrain,42,0.65696,2016,6.218,0.25772,0.47375,Asia
39,1.296692252,0.287453711,Bahrain,40,0.838836372,2020,6.227300167,0.12669725699999998,0.610399902,Asia
48,1.32376,0.17362,Bahrain,49,0.74716,2015,5.96,0.306,0.45492,Asia
42,1.338,0.243,Bahrain,43,0.698,2018,6.105,0.12300000000000001,0.594,Asia
40,1.4884122610092199,0.17266848683357197,Bahrain,41,0.653133034706116,2017,6.08699989318848,0.257042169570923,0.536746919155121,Asia
36,1.3619999999999999,0.255,Bahrain,37,0.871,2019,6.199,0.11,0.536,Asia
109,0.586682975292206,0.17225535213947304,Bangladesh,110,0.533241033554077,2017,4.60799980163574,0.123717859387398,0.478356659412384,Asia
124,0.562,0.166,Bangladesh,125,0.723,2019,4.456,0.14300000000000002,0.527,Asia
108,0.39753,0.21222,Bangladesh,109,0.60164,2015,4.694,0.12569,0.4082,Asia
109,0.54177,0.19132000000000002,Bangladesh,110,0.52989,2016,4.643,0.12583,0.39778,Asia
114,0.532,0.153,Bangladesh,115,0.579,2018,4.5,0.14400000000000002,0.58,Asia
106,0.556156278,0.17674511699999998,Bangladesh,107,0.694940507,2020,4.832799911,0.176735908,0.604130566,Asia
80,1.067,0.094,Belarus,81,0.789,2019,5.3229999999999995,0.142,0.235,Europe
58,1.0319200000000002,0.11045999999999999,Belarus,59,0.7360800000000001,2015,5.813,0.1909,0.37938,Europe
66,1.15655755996704,0.15513750910759,Belarus,67,0.6377142667770389,2017,5.5689997673034695,0.156313821673393,0.295400261878967,Europe
60,1.1306200000000002,0.13942000000000002,Belarus,61,0.6310399999999999,2016,5.8020000000000005,0.17457,0.29091,Europe
72,1.0390000000000001,0.10099999999999999,Belarus,73,0.7,2018,5.483,0.154,0.307,Europe
